Commands Sent
start pendulum
stop pendulum
start
start
start
start
start
start
start
start
reset
reverse pendulum
start
reset
reset
reset
start
stop
stop
reset
start
start
stop
reset
start
stop
start
stop
stop
start
reset
stop
reset
start
stop
reset
This is a custom command
start
reset
stop
This is another custom command
start
start
start
start
start
start
stop
start
reset
stop
reset
start
This is a custom command from evan2
This is a custom command from kinge
start
stop
reset
start
reset
stop
custom command from kinge
start
stop
emergency_stop
start
reset
stop
reset
recenter
set to 5V
stop
start
recenter
